,Unnamed: 0,geometry,shape_area,count_gt,count_pred,diff
0,0,"POLYGON ((-73.96432543478758 40.75638153099094, -73.96478633196509 40.75575573144838, -73.96524094428382 40.75512992861384, -73.9656961990018 40.75450507047664, -73.96615683421602 40.75387785112291, -73.96637546975724 40.75357421492447, -73.96653673334255 40.75335025662898, -73.96661581699034 40.75324342543924, -73.96897803741389 40.75425053544146, -73.97121704531175 40.75519332425527, -73.97075919418829 40.75582485124254, -73.97031393611425 40.7564530195321, -73.96984859921461 40.75707595800301, -73.96939411311261 40.75769952815847, -73.96893510322617 40.75833009163124, -73.96670187508813 40.7573808038001, -73.96432543478758 40.75638153099094))",1888306.2332608495,143.60242,143.88062,0.27819967
1,1,"POLYGON ((-73.97124277307127 40.7609364184791, -73.9716960921487 40.76031266144982, -73.97215595488032 40.75968124035729, -73.97261271418446 40.75905930848455, -73.97306851954798 40.7584314941964, -73.97352419611897 40.75780844078159, -73.97398183196329 40.75717975858844, -73.97443866383502 40.75655630634624, -73.97453865562939 40.75659708520905, -73.97604542132363 40.75723205763827, -73.9776548272757 40.75791142378001, -73.97720026523596 40.75853793354629, -73.9767446760211 40.75916473827931, -73.97628870099064 40.7597867491654, -73.97583011985374 40.76041852021438, -73.97537360664667 40.7610399070742, -73.97491476221624 40.76166727005671, -73.97445730550224 40.76229308352492, -73.97285250503253 40.76161435775509, -73.97133777276214 40.76097729818962, -73.97124277307127 40.7609364184791))",1843800.5281673488,174.29604,174.0883,-0.20775007
2,2,"POLYGON ((-73.97445730550224 40.76229308352492, -73.97491476221624 40.76166727005671, -73.97537360664667 40.7610399070742, -73.97583011985374 40.76041852021438, -73.97628870099064 40.7597867491654, -73.9767446760211 40.75916473827931, -73.97720026523596 40.75853793354629, -73.9776548272757 40.75791142378001, -73.97891172591584 40.7584365388348, -73.98088574583751 40.75927066953555, -73.98042606433056 40.75989908107931, -73.9799718818968 40.760524701378, -73.97951319160578 40.76114856185014, -73.97905731164806 40.76177071972655, -73.97860169380924 40.76239607235218, -73.9781393167961 40.76302401446676, -73.97768600593265 40.76364440302324, -73.97445730550224 40.76229308352492))",1847409.3102668093,143.79231,143.24927,-0.543041
3,3,"POLYGON ((-73.98411754823195 40.75484205346464, -73.98459584284861 40.75417694237392, -73.98504363809306 40.75355414871729, -73.98548819085713 40.75293517965366, -73.98594653087758 40.75231680555555, -73.98731031988817 40.75289242302916, -73.98878655043399 40.75351677934749, -73.9916327131064 40.75470680500962, -73.99117738158363 40.75532984908395, -73.99072636339713 40.75595040556484, -73.99027621412581 40.75656756504964, -73.98979085401604 40.75723313191888, -73.98841835499525 40.75665498686526, -73.98694873852376 40.75603590226133, -73.98640436709023 40.75580802928723, -73.98411754823195 40.75484205346464))",1873310.531620427,184.32243,176.34961,-7.972831
4,4,"POLYGON ((-73.96147581181627 40.77432401139129, -73.96193924573703 40.77368952710466, -73.96240244595131 40.77305405861783, -73.96286485480145 40.77241942625395, -73.96332667510583 40.77178634089841, -73.96382461556939 40.77110398045725, -73.96431940640112 40.77042295736226, -73.96478171550235 40.76979576405271, -73.96488147210884 40.769838099749, -73.96638770810085 40.77047735753088, -73.96799327777012 40.77114723095269, -73.96753398444372 40.77177618398404, -73.96703947579951 40.77246121881645, -73.96653617013206 40.77314036859023, -73.96607449041005 40.77377298910019, -73.96560968621523 40.77440720144547, -73.96514745374779 40.77504423208978, -73.96468735841751 40.7756770817154, -73.96308760254303 40.7750028422446, -73.96158453862105 40.77436878420817, -73.96147581181627 40.77432401139129))",1900800.5824237813,102.21113,100.68041,-1.5307211
5,5,"POLYGON ((-73.95494520074132 40.77750394716683, -73.95540729761575 40.77686848039941, -73.95586933682138 40.77623622634535, -73.9563349232549 40.77560078338055, -73.95679749082419 40.77496631066822, -73.95729410043811 40.77428355507534, -73.95779380470225 40.7735998974568, -73.95825534937234 40.77296533658364, -73.95985681798173 40.77364276866619, -73.96136792679195 40.77427876063582, -73.96147581181627 40.77432401139129, -73.96100848538997 40.77495532235399, -73.96051055687664 40.77564069660061, -73.96001137769008 40.77632010663261, -73.95954772790607 40.77695715855386, -73.95909001718732 40.77759247275086, -73.95862715684635 40.77822653984914, -73.95816437040028 40.77886120010735, -73.95805650442313 40.77881504600983, -73.95654650812398 40.77818010158466, -73.95494520074132 40.77750394716683))",1908659.5756062027,113.792885,113.6006,-0.19227456
6,6,"POLYGON ((-73.94181428695792 40.80123649161302, -73.9422717512097 40.80060819987344, -73.94273380413395 40.7999783425172, -73.94296479026031 40.79966832643989, -73.94323386335302 40.79930718664944, -73.94374198883924 40.79861507762979, -73.94391130118711 40.79838357805667, -73.94396683034356 40.79830765295181, -73.9441702689505 40.79802949059467, -73.94432290472277 40.79782078932998, -73.94442935622436 40.79767523506506, -73.94463158311375 40.79739871972905, -73.94469410526997 40.79731322842944, -73.94476157518521 40.79722097363604, -73.94486067310096 40.79708546827279, -73.94492765571252 40.79699387687987, -73.9450961463569 40.79676348346356, -73.94522698885575 40.79682013329717, -73.94556506780818 40.79696479511533, -73.94566684714073 40.79700834433972, -73.94670030971344 40.797450543718, -73.94722520890936 40.79767168595846, -73.94831125388248 40.79812921756653, -73.94820641538013 40.79827285109837, -73.94815384324836 40.79834487657842, -73.94810109026562 40.79841714838145, -73.94805130202991 40.79848535985433, -73.94784679118879 40.79876554270086, -73.94781663052815 40.79880686297199, -73.94775716468848 40.79888833204087, -73.94771055979315 40.79895218061348, -73.94741996235193 40.7993502952957, -73.94737599844727 40.799410524218, -73.9473277151459 40.79947667147866, -73.9472801829742 40.79954178928657, -73.94697366807029 40.79996170291025, -73.94646133852031 40.80066530588232, -73.94596789749369 40.80134239517248, -73.94550863918199 40.80197023123967, -73.94505127984516 40.80259859871751, -73.94343585256632 40.80191926448627, -73.94195597543727 40.80129595998213, -73.94181428695792 40.80123649161302))",1887111.4172261292,3.4119334,3.37131,-0.040623534
7,7,"POLYGON ((-73.94505127984516 40.80259859871751, -73.94550863918199 40.80197023123967, -73.94596789749369 40.80134239517248, -73.94646133852031 40.80066530588232, -73.94697366807029 40.79996170291025, -73.94712864836765 40.80002779464431, -73.94794438934083 40.80037565552887, -73.94809118051079 40.80043825154981, -73.94855077682445 40.80063423517989, -73.94875276228434 40.80072002483575, -73.94944632011173 40.80101610122144, -73.9495758966501 40.80107135171314, -73.95010911839984 40.80129871423103, -73.95018652357653 40.80133172396378, -73.9496801517253 40.80202338539624, -73.94918716090649 40.80269954165638, -73.9487279913216 40.80333076807774, -73.94827301306364 40.8039572054608, -73.94818509853715 40.80392013697562, -73.94795129897898 40.80382154752817, -73.94782438931297 40.80376803166495, -73.94505127984516 40.80259859871751))",1107747.1188798216,3.8496845,3.4245067,-0.42517784
8,8,"POLYGON ((-73.93580780201182 40.80949763825765, -73.93586263420018 40.80943020292137, -73.93625935969524 40.80885560872537, -73.93671827467928 40.80822047872682, -73.93718011798988 40.80759900086058, -73.93763439424363 40.80697460692187, -73.93808666916728 40.80635301191099, -73.93854407929403 40.8057296529329, -73.93869430486176 40.80579102921089, -73.94015793743944 40.80640908964357, -73.94177140170031 40.80708900034971, -73.94131742369481 40.80771334638104, -73.94086063109458 40.80833426759896, -73.94040344902201 40.80895809564562, -73.93994875910906 40.8095814180323, -73.93949397539919 40.81020880953354, -73.93901753314597 40.8108565568745, -73.93740733660461 40.81017561140126, -73.93580780201182 40.80949763825765))",1589041.6084123163,1.2403902,0.0,-1.2403901
9,9,"POLYGON ((-73.93669078722112 40.8371932495326, -73.93834307233793 40.83790887508163, -73.93791966084299 40.83848984473936, -73.93778083485705 40.83868698667672, -73.93733219323627 40.83929429801746, -73.93720524289213 40.83946777139383, -73.93691328953926 40.8398667016489, -73.93646387764863 40.84048139285461, -73.93604128237843 40.84106789416436, -73.93556697240601 40.84171252755831, -73.93561105084657 40.84160899486517, -73.93561108645704 40.84160889604604, -73.93561111102899 40.84160880660209, -73.93563665024215 40.84150019461355, -73.9356366611035 40.84150014034191, -73.93564243665733 40.84138944605657, -73.93564244828561 40.84138928306246, -73.93564242460974 40.84138913043512, -73.93562830241858 40.84127961412806, -73.93562826736834 40.84127936215278, -73.9356281844601 40.8412791002669, -73.93559506228506 40.84117340059595, -73.93543637028168 40.84075133160857, -73.93529543189291 40.84047481865688, -73.93519180612901 40.84033568827733, -73.93519169928565 40.84033554431438, -73.93519161626593 40.84033539986223, -73.93510666614674 40.84018372666806, -73.93504376865354 40.84002162055336, -73.93504374466244 40.84002156676471, -73.93504373258284 40.84002151298278, -73.93500577800707 40.83985201013729, -73.93500575406057 40.83985191078219, -73.93500574203472 40.83985180205249, -73.93499462352899 40.83967821651778, -73.93499462360722 40.83967813644146, -73.93499463670099 40.83967805519978, -73.9350111920747 40.83950397246463, -73.93505508758878 40.83933323616285, -73.93512471770407 40.83916963793197, -73.93512477718961 40.83916948484866, -73.93512487196809 40.83916933178523, -73.93521769510788 40.8390159210953, -73.93521773045309 40.83901586734002, -73.93521776600976 40.83901582296618, -73.93533051907211 40.83887504026224, -73.93533061470693 40.83887491299775, -73.93533073327194 40.83887479613261, -73.93545962206119 40.83874840359471, -73.93563711269499 40.83863142004579, -73.93580416742989 40.83850497704455, -73.93595950346034 40.83836989847574, -73.93610200505144 40.83822716914314, -73.93623075824442 40.83807785621784, -73.93638316925271 40.83785012505355, -73.93669078722112 40.8371932495326))",647592.3507949479,0.031554792,0.0,-0.031554792
