,Unnamed: 0,geometry,shape_area,count_gt,count_pred,diff
0,0,"POLYGON ((-73.9799619880113 40.71397269930175, -73.97928983368539 40.71376171736406, -73.98085305588087 40.71355479851758, -73.98092383638225 40.71426465559302, -73.9799619880113 40.71397269930175))",56550.15522734449,0.19277108,6.1002434e-06,-0.192765
1,1,"POLYGON ((-74.00986580893488 40.70579642666333, -74.00999520608903 40.70533123891876, -74.00998418601552 40.7051477331705, -74.01147191600678 40.70503315756527, -74.01154981040638 40.70495073547162, -74.01142470631831 40.70581802986001, -74.01118994205468 40.70627872751817, -74.00986580893488 40.70579642666333))",146384.9714014318,2.518646,2.1013215,-0.4173246
2,2,"POLYGON ((-73.98247747854293 40.71829050717249, -73.98255430951264 40.7181542766287, -73.98259632461918 40.71807977977807, -73.98269065687397 40.71791251743458, -73.98273552562925 40.71783296014108, -73.98290245186101 40.71753697699057, -73.98295304337175 40.71744727084317, -73.98310329762194 40.71718084754546, -73.98399541546712 40.71741442404254, -73.98339510382881 40.71857020627153, -73.98247747854293 40.71829050717249))",118230.1126344447,0.0952381,4.209837e-05,-0.095195994
3,3,"POLYGON ((-74.00774466596553 40.71022077391481, -74.00841837034939 40.70953038526326, -74.00954277258489 40.71032749299293, -74.00947357911571 40.71041254363073, -74.00906264791007 40.71088670361993, -74.00774466596553 40.71022077391481))",118609.47471451155,2.6477337,0.00061108184,-2.6471229
4,4,"POLYGON ((-73.98787935797355 40.71740897253077, -73.98791645958049 40.71733557386609, -73.98795181535569 40.71726562790225, -73.9883662631772 40.71644570253953, -73.98915463816797 40.71670864677169, -73.98910865068929 40.7167980212015, -73.9890655216649 40.71688183935211, -73.98901760348274 40.71697496565945, -73.98897708482292 40.71705370997012, -73.98893341784211 40.71713857321702, -73.9888404867946 40.7173191766351, -73.98867046852338 40.71764958849925, -73.98787935797355 40.71740897253077))",87416.82644963216,1.3918531,1.6564034e-05,-1.3918365
5,5,"POLYGON ((-74.00754375933072 40.71543282462535, -74.00793943414322 40.71492697262616, -74.00923907438938 40.71552016835783, -74.00882328376777 40.71601382366902, -74.00754375933072 40.71543282462535))",88267.81071623492,5.4738955,5.133864,-0.340032
6,6,"POLYGON ((-73.98130824174008 40.72070878563625, -73.98134542786711 40.72063409532471, -73.98193054281546 40.71945865322476, -73.98280360135966 40.71972299749716, -73.98220455723717 40.72089379380753, -73.98216615263901 40.72096885477433, -73.98130824174008 40.72070878563625))",124527.3596768214,0.52667814,0.0,-0.5266781
7,7,"POLYGON ((-73.99931241700145 40.71755024177742, -73.99944838246387 40.71732979709837, -74.00027443693304 40.71761940210772, -73.99995620864657 40.7180170950872, -73.99931241700145 40.71755024177742))",31303.646883713787,2.4366035,2.08008,-0.3565236
8,8,"POLYGON ((-73.9829641435289 40.72267132479106, -73.9834436361881 40.72201850730481, -73.98575224049615 40.7230093862095, -73.98569579305524 40.7230868110726, -73.98528584556817 40.7236491037512, -73.9829641435289 40.72267132479106))",196174.06180989087,5.895582,5.657204,-0.23837863
9,9,"POLYGON ((-74.00127273406261 40.71896142594339, -74.00183154252852 40.71830880959323, -74.00253798721954 40.71862688357916, -74.00209161668549 40.71915339284904, -74.00188406309478 40.71939757028785, -74.0014005568262 40.71905262019892, -74.00127273406261 40.71896142594339))",69770.70283473463,1.9569707,1.8224003,-0.13457046
